Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/24/2024 11:36,45,Food vendor ,Yes,,I liked their projects or promises,None ,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,KOFI Man ,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Clean water, Lavatories ",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 11:36,,Seamstress ,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, I heard, but they didn't help me","Yes, he did most of the work needed","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Salas Mensah,Atohkrom,"Jobs, Schools and education, Health Services, Clean water",Emmanuel Drah (NDC),Job provisions ,Yes
12/24/2024 11:36,31,Tailor ,Yes,,"I support their party, I liked their projects or promises",NPP,Lack of team support ,"Yes, I knew about them, Awards,AstroTurf,Roads,Electricity,Education and Boreholes ","Yes, he did most of the work needed",People here always vote NDC,None,Frederick Adom,Atohkrom ,"Jobs, Lavatories,Electricity,Market place",Emmanuel Drah (NDC),Should fulfill their promise ,Yes
12/24/2024 11:40,19,Mechanic ,Yes,,"I support their party, I liked their projects or promises",NDC,None,"Yes, I knew about them, Roads construction,fixing of boreholes ","He tried, but it wasn't enough",People here always vote NDC,,Assifu Bekoe,Attorkrom ,"Bad roads, Jobs",Emmanuel Drah (NDC),Focus on what the youth needs,Yes
12/24/2024 11:41,33,Teacher,Yes,,"I liked their projects or promises, They were active in the community",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better",They were better at reaching people,Assifu Bekoe,Kofiman,"Jobs, Clean water",Emmanuel Drah (NDC),Be careful of party members,Yes
12/24/2024 11:44,46,Driver,No,I had no transportation,,,,,,,,,Attorkrom ,,,,
12/24/2024 11:48,29,,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Atohkrom ,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Developmental projects ,Yes
12/24/2024 11:51,26,Factory worker,Yes,,For change,NDC,He didn’t do enough for the community,"Yes, I knew about them, Factory,AstroTurf ","He tried, but it wasn't enough","The NDC’s promises were better, For change",They made stronger promises,Frederick Adom,Atohkrom ,"Jobs, Clean water",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/24/2024 11:58,24,Trader ,Yes,,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","Yes, he did most of the work needed",He was more visible and approachable,None,Assifu Bekoe,Attorkrom ,"Jobs, Schools and education",Neither,Can't tell ,Dont know
12/24/2024 12:09,38,Steal bender,No,No ID,,None,"People were not happy with the NPP government and wanted change, Lack of team support ","Yes, I knew about them, Gala,Electricity ","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government",For change ,,Atohkrom ,Jobs,Emmanuel Drah (NDC),Fulfill his promise ,Yes
12/24/2024 12:16,43,Food vendor ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, Lack of team support ","Yes, I knew about them, AstroTurf,Education","Yes, he did most of the work needed",None,None,Frederick Adom,Atohkrom ,"Clean water, Electricity ",Frederick Obeng Adom (NPP),There should be team support ,No
12/24/2024 13:20,26,,No,"My name wasn’t on the voter list, I didn’t know where to vote",,,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them",,"He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Salas Mensah,Amahkrom,"Bad roads, Jobs",Emmanuel Drah (NDC),,Yes
12/24/2024 13:21,80,Trader,Yes,,For change ,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, For change ",They made stronger promises,Salas Mensah,Atohkrom ,,,Fulfill their promise ,Yes
12/24/2024 13:22,53,Trader,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them, AstruTarf ","No, he didn't solve major issues",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Salas Mensah,Amarhkrom ,Clean water,Frederick Obeng Adom (NPP),Depends on the developmental project ,Yes
12/24/2024 13:23,42,Factory worker,Yes,,I liked their projects or promises,None,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them","Yes, he did most of the work needed","The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Try harder,Yes
12/24/2024 13:25,88,Unemployed ,Yes,,I liked their projects or promises,None ,Change ,"No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Health Services",Neither,Job creation ,Yes
12/24/2024 13:25,,Pastor,No,I wasn’t interested,,None,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,Salas Mensah,Amahkrom ,"Jobs, Schools and education, Health Services, Clean water",Emmanuel Drah (NDC),,Yes
12/24/2024 13:26,50,Trader,Yes,,I liked their projects or promises,NDC,People vote for NDC here,"I heard, but they didn't help me","No, he didn't solve major issues","People here always vote NDC, People were not happy with the NPP government",They were better at reaching people,Amankwanor,Amarhkrom ,"Jobs, Clean water",Emmanuel Drah (NDC),Development ,Yes
12/24/2024 13:29,,Trader,Yes,,"I support their party, I liked their projects or promises",None,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Salas Mensah,,"Jobs, Health Services, Clean water",Emmanuel Drah (NDC),,Yes
12/24/2024 13:30,41,Unemployed ,Yes,,I liked their projects or promises,NDC,E Levy ,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, Kotoku factory ",They were better at reaching people,Salas Mensah,Brekusu,Jobs,Emmanuel Drah (NDC),They should provide more jobs ,Yes
12/24/2024 13:30,32,Unemployed ,No,,,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",For change ,They made stronger promises,,Amahkrom ,Jobs,Neither,Fulfill their promise ,Yes
12/24/2024 13:32,39,Driver,Yes,,I support their party,NDC,None ,"I heard, but they didn't help me","No, he didn't solve major issues",None ,They made stronger promises,Amankwanor,Junction ,Jobs,Emmanuel Drah (NDC),Depends on what the current MP will do ,Dont know
12/24/2024 13:32,45,Trader ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",People were not happy with the NPP government,They made stronger promises,Assifu Bekoe,KOFI man ,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Clean water",Neither,Job creation ,Yes
12/24/2024 13:32,40,Food vendor,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them","Yes, he did most of the work needed","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,Jobs,Frederick Obeng Adom (NPP),Solve major problems next time,Yes
12/24/2024 13:34,45,Farmer,No,I was tired,,,,,,,,,,,,,
12/24/2024 13:38,34,Farmer,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, The leaders were selfish","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,Jobs,Frederick Obeng Adom (NPP),Be careful about his leaders,
12/24/2024 13:39,63,Farmer ,Yes,,I support their party,,"He didn’t do enough for the community, They were competent ","Yes, I knew about them, Bridge ","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,Brekusu ,Proper sanitation and sewage system ,Neither,They should make stronger policies ,Yes
12/24/2024 13:39,30,Health worker ,Yes,,I liked their projects or promises,None ,Team didn’t support ,"No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,KOFI man ,"Help for farmers (tools, fertilizer), Bad roads, Schools and education",Neither,Job creation ,Yes
12/24/2024 13:39,43,Teacher ,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, Helping of tailors ","Yes, he did most of the work needed","People were not happy with the NPP government, Land degrading ",They were better at reaching people,Amankwanor,Junction ,Sand winning ,Emmanuel Drah (NDC),Do their work well and provide more jobs,Yes
12/24/2024 13:41,30,Electrical shop,No,None,,None,,"Yes, I knew about them",,None,None ,,Amahkrom ,Jobs,,Fulfill their promise ,Yes
12/24/2024 13:43,19,Hairdresser apprentice,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Kofiman,Jobs,Frederick Obeng Adom (NPP),Try harder,Yes
12/24/2024 13:43,,,No,I wasn’t interested,,None ,,,,,,,,,,,
12/24/2024 13:44,24,Factory worker ,Yes,,I liked their projects or promises,None ,"People were not happy with the NPP government and wanted change, Mishandled state’s money ","I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They made stronger promises, They focused on key issues (farming, roads, schools)",Salas Mensah,Brekusu lane,Jobs,Frederick Obeng Adom (NPP),Job creation ,Yes
12/24/2024 13:44,19,Hairdresser ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,KOFI Man ,"Help for farmers (tools, fertilizer), Jobs, Schools and education",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 13:44,32,Factory worker ,Yes,,For peace ,NDC,God's work,"No, I didn't know about them","No, he didn't solve major issues",God's work,None,,Brekusu ,"Jobs, Proper Sewage system ",Emmanuel Drah (NDC),They should ensure peace ,Yes
12/24/2024 13:46,,Shop assi,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,They were better at reaching people,Salas Mensah,,"Bad roads, Jobs, Schools and education, Health Services, Clean water",,,Dont know
12/24/2024 13:46,22,Petrol shell officer ,No,None,,None,None,None,"No, he didn't solve major issues",None ,None ,,Amahkrom ,Jobs,Neither,Fulfill their promise ,Dont know
12/24/2024 13:47,46,Trader,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better","They made stronger promises, For change ",Salas Mensah,Junction ,"Jobs, Market ",Emmanuel Drah (NDC),Depends on what the current MP will do ,Yes
12/24/2024 13:50,41,Trader,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better",They made stronger promises,Amankwanor,Junction ,Jobs,Emmanuel Drah (NDC),Do what they say ,Yes
12/24/2024 13:50,39,Hairdresser ,Yes,,I liked their projects or promises,None ,Don’t know ,"I heard, but they didn't help me","No, he didn't solve major issues",,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,KOFI Man,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, ",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 13:51,68,Caterer ,Yes,,"I liked their projects or promises, For peace ",,,"Yes, I knew about them","Yes, he did most of the work needed",,,,Brekusu ,Proper Sewage system ,Neither,,Yes
12/24/2024 13:53,70,Bookshop owner,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, Gala,AstroTurf ","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,Junction ,"Clean water, Sand winning ",Emmanuel Drah (NDC),Fulfill their promise,Yes
12/24/2024 13:54,32,Food vendor ,Yes,,I liked their projects or promises,None ,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi Man ,"Bad roads, Jobs, Lavatories ",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 13:55,39,Food vendor ,Yes,,"I support their party, Family member",NPP,None ,"I heard, but they didn't help me","He tried, but it wasn't enough",None,None,Frederick Adom,Junction ,Jobs,Frederick Obeng Adom (NPP),Continue what ever the formal MP will not complete ,Dont know
12/24/2024 13:57,32,Food processing ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi Man ,"Help for farmers (tools, fertilizer), Bad roads, Clean water, Lavatories ",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 13:57,40,Trader,Yes,,"I liked their projects or promises, They were active in the community",NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofiman,"Jobs, Public toilet and rubbish container",Emmanuel Drah (NDC),Nothing,Yes
12/24/2024 13:58,57,Farmer,Yes,,I support their party,NPP,His team didn’t help,"Yes, I knew about them, Roads , bridges, boreholes ","He tried, but it wasn't enough",People were not happy with the NPP government,Nothing ,Frederick Adom,Brekusu lane,Clean water,Frederick Obeng Adom (NPP),Job creation ,Yes
12/24/2024 13:58,,Trader ,No,I wasn’t interested,,,,,,,,,,,,,
12/24/2024 14:00,40,Trader,Yes,,I support their party,None ,None,"No, I didn't know about them","No, he didn't solve major issues",None ,None,Salas Mensah,Junction ,"Bad roads, Jobs, Schools and education",Neither,Do what they say ,Dont know
12/24/2024 14:01,54,Trader,Yes,,Too much hardship and unemployment,None,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They focused on key issues (farming, roads, schools)",Frederick Adom,,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Try more,
12/24/2024 14:02,24,Trader ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed",People here always vote NDC,People here always vote NDC ,Frederick Adom,Brekusu ,Clean water,Frederick Obeng Adom (NPP),They should campaign better ,Yes
12/24/2024 14:03,30,Hairdresser ,Yes,,Award,NPP,His team didn’t help,"Yes, I knew about them, Bridge ","Yes, he did most of the work needed",I Don’t know ,None,Frederick Adom,Brekusu lane,Jobs,Frederick Obeng Adom (NPP),"Fulfill their promises, job creation ",Yes
12/24/2024 14:03,30,Seamstress ,Yes,,"I support their party, I liked their projects or promises",NPP,Lack of team support ,"Yes, I knew about them, Awards","He tried, but it wasn't enough",None,None,Frederick Adom,Junction ,Jobs,,Fulfill their promise ,Dont know
12/24/2024 14:04,,,Yes,,,,,,,,,,,,,,
12/24/2024 14:05,18,Trader,No,,,,,,,,,,Junction ,,,,
12/24/2024 14:05,34,Sprayer ,Yes,,I liked their projects or promises,None ,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi Man ,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, Health Services, Clean water",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 14:05,70,Farmer,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","He tried, but it wasn't enough",No idea,"They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,Jobs,Frederick Obeng Adom (NPP),He should listen to the views and thoughts of his people,
12/24/2024 14:05,20,Welder,No,I don’t have an ID card,,,,,,,,,,,,,
12/24/2024 14:06,23,Construction worker ,No,I didn’t know where to vote,,,,,,,,,,,,,
12/24/2024 14:08,,,Yes,,,,,,,,,,,,,,
12/24/2024 14:09,30,Unemployed ,No,I had no transportation,,,,,,,,,,,,,
12/24/2024 14:09,24,Seamstress ,Yes,,"I support their party, I liked their projects or promises, They were active in the community",NPP,"People were not happy with the NPP government and wanted change, Lack of team support ","Yes, I knew about them, Awards,Education ","He tried, but it wasn't enough",People were not happy with the NPP government,None,Frederick Adom,Junction ,Robbery and sand wining ,Frederick Obeng Adom (NPP),Fulfill their promise ,Dont know
12/24/2024 14:10,18,Seamstress ,No,,I support their party,,People were not happy with the NPP government and wanted change,,,People were not happy with the NPP government,,,,,,,
12/24/2024 14:11,21,Seamstress ,Yes,I wasn’t interested,I support their party,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them","Yes, he did most of the work needed",,,Salas Mensah,,"Bad roads, Jobs, Schools and education, Health Services",,,Yes
12/24/2024 14:12,22,Footballer ,No,,,,,"Yes, I knew about them, Sending people into the security services ","No, he didn't solve major issues",He was more visible and approachable,None ,Salas Mensah,Methodist church ,Help footballers,,Focus on major issues,Dont know
12/24/2024 14:12,33,Okada,No,,,,,,,,,,,,,,
12/24/2024 14:13,,Unemployed ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"Yes, I knew about them","Yes, he did most of the work needed",For change ,People here always vote NDC ,Frederick Adom,Brekusu ,"Jobs, Proper Sewage system and lavatories ",Frederick Obeng Adom (NPP),Provide sufficient jobs and capitals ,Yes
12/24/2024 14:14,62,Shop owner,Yes,,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them, AstroTurf ","He tried, but it wasn't enough","The NDC’s promises were better, People here always vote NDC",They made stronger promises,Salas Mensah,Okusu,Jobs,Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/24/2024 14:14,40,Factory worker,Yes,,"I liked their projects or promises, They were active in the community",None,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofiman,"Bad roads, Jobs, Clean water, Improper waste disporsal",Emmanuel Drah (NDC),Provide necessary things,Yes
12/24/2024 14:15,18,Seamstress ,Yes,,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Salas Mensah,,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, Clean water",Frederick Obeng Adom (NPP),,Yes
12/24/2024 14:16,22,Painter,Yes,,For change ,None,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",To know how he would help the community ,None,Amankwanor,Brekusu lane ,None ,Frederick Obeng Adom (NPP),Job creation ,Yes
12/24/2024 14:17,73,Farmer,No,,,Both,,,,,,,Methodist church ,"Bad roads, Jobs",Neither,,Dont know
12/24/2024 14:17,20,Student ,No,I didn’t know where to vote,,,,,,,,,Brekusu ,,,,
12/24/2024 14:19,51,Food vendor,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofiman,"Bad roads, Jobs, Clean water, Improper disporsal of waste",Emmanuel Drah (NDC),Can win next time,Yes
12/24/2024 14:21,,Trader ,No,I travelled ,,,,,,,,,,,,,
12/24/2024 14:21,67,Farmer ,Yes,,I liked their projects or promises,None ,Team didn’t help ,"Yes, I knew about them","He tried, but it wasn't enough",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi Man ,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, Garbage disposal ",Neither,Job creation and garbage disposal a,Yes
12/24/2024 14:21,33,Simstress ,No,Jehovah witnesses ,,,,,,,,,,,,,
12/24/2024 14:22,48,Blacksmith ,Yes,,For change ,NDC,"He didn’t do enough for the community, Lack of team support ","Yes, I knew about them, AstroTurf,Awards","He tried, but it wasn't enough",The NDC’s promises were better,They made stronger promises,Salas Mensah,Okusu,Sand winning ,Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/24/2024 14:24,19,Student ,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Bridge, AstoTurf, Awards ","Yes, he did most of the work needed",Job creation ,"They focused on key issues (farming, roads, schools)",Frederick Adom,Ahenbrom,None,Neither,"Job creation,  fulfill their promises ",Yes
12/24/2024 14:26,54,Trader ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, God's work ","Yes, I knew about them, Bridge palace ","Yes, he did most of the work needed",God's work ,God's work ,Frederick Adom,,"Jobs, Lavatories and proper Sewage system ",Neither,They should make stronger policies,Yes
12/24/2024 14:26,18,Simstress ,Yes,,"I support their party, Cost of living ",NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Helped many people ","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Cocoa market ,"Jobs, Clean water, Cost of living ",Frederick Obeng Adom (NPP),Does what he says ,Yes
12/24/2024 14:26,27,Factory worker,No,I wasn’t interested,,None,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",,,Assifu Bekoe,,,,,
12/24/2024 14:27,40,Trader,Yes,,"For change, job creation ",NPP,"People vote for NDC here, His team didn’t help ","Yes, I knew about them, Bridge ","Yes, he did most of the work needed",People were not happy with the NPP government,None,Frederick Adom,Ahenbrom,"Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/24/2024 14:30,38,Hairdresser ,Yes,,I liked their projects or promises,None ,He didn’t do enough for the community,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi Man ,"Help for farmers (tools, fertilizer), Bad roads, Schools and education",Emmanuel Drah (NDC),,Yes
12/24/2024 14:31,30,Okada,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them","He tried, but it wasn't enough","People here always vote NDC, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Try harder,Yes
12/24/2024 14:31,,Pensioner ,No,Sick,,,,,,,,,,,,,
12/24/2024 14:33,33,Trader,No,I had no transportation,,,,,,,,,,,,,
12/24/2024 14:33,71,Trader,Yes,,I support their party,NDC,None,"Yes, I knew about them, Washroom ","No, he didn't solve major issues",He was more visible and approachable,They made stronger promises,Assifu Bekoe,Cocoa market ,"Jobs, Clean water",Frederick Obeng Adom (NPP), Depends on what the current MP will do ,No
12/24/2024 14:33,27,Food vendor ,No,My name wasn’t on the voter list,,,,,,,,,,,,,
12/24/2024 14:35,24,Business Man ,Yes,,I liked their projects or promises,NPP,People vote for NDC here,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Frederick Adom,Kofi Man,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, Health Services, Clean water, Laca",Frederick Obeng Adom (NPP),Increase campaign ,Yes
12/24/2024 14:36,21,Trader,Yes,,I support their party,NDC,"People vote for NDC here, Did not get some of the money shared","I heard, but they didn't help me","No, he didn't solve major issues",None,"They were better at reaching people, They made stronger promises",Assifu Bekoe,Cocoa market ,"Bad roads, Jobs",Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Dont know
12/24/2024 14:37,43,Trader,Yes,,"I support their party, I liked their projects or promises",NDC,I don’t know ,"No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, Job creation, for change ","They focused on key issues (farming, roads, schools)",Salas Mensah,Ahenbrom,Jobs,Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/24/2024 14:37,60,Trader ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Bridge ","He tried, but it wasn't enough",He was more visible and approachable,"They were better at reaching people, They made stronger promises",Assifu Bekoe,Brekusu ,"Clean water, Market ",Emmanuel Drah (NDC),They should make stronger policies ,Yes
12/24/2024 14:40,45,Seamstress ,Yes,,"I support their party, For change ",NDC,They failed us,"No, I didn't know about them","No, he didn't solve major issues","People were not happy with the NPP government, For change ","They focused on key issues (farming, roads, schools), ",Amankwanor,Ahenbrom ,None ,Frederick Obeng Adom (NPP),Job creation ,Yes
12/24/2024 14:40,37,Mason,No,Was busy with work,,None,The sharing of money,,"He tried, but it wasn't enough","The NDC’s promises were better, People here always vote NDC, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Frederick Adom,Kofiman,"Bad roads, Jobs, Health Services, Clean water",Neither,Be careful with members and leaders,Yes
12/24/2024 14:41,51,Unemployed ,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, Corruption ","Yes, I knew about them, Construction of shelter and Urinal","He tried, but it wasn't enough","People were not happy with the NPP government, For change ","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Cocoa market ,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Depends on what will help the community ,No
12/24/2024 14:44,,Poultry farmer,Yes,,"I support their party, For change ",NDC, for change ,"Yes, I knew about them, Bridge ","He tried, but it wasn't enough",He was more visible and approachable,"They made stronger promises, They focused on key issues (farming, roads, schools)",Salas Mensah,Ahenbrom ,Jobs,Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/24/2024 14:44,30,Mason ,No,I wasn’t interested,,,,,,,,,,"Bad roads, Jobs, Schools and education",,,Yes
12/24/2024 14:45,,,No,Couldn't find her ID card,,,,"Yes, I knew about them, Helping people with jobs","He tried, but it wasn't enough",People here always vote NDC,,,Cocoa market ,,Frederick Obeng Adom (NPP),,
12/24/2024 14:46,,Mason,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, They did nothing","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Kofiman,"Jobs, Clean water",Emmanuel Drah (NDC),Nothing,Yes
12/24/2024 14:46,26,Factory worker ,No,I wasn’t interested,,,,,,,,,,,,,
12/24/2024 14:46,23,Unemployed ,No,I wasn’t interested,,,,,,,,,,,,,
